title,release_year,main_character_name,main_character_gender,country
Carne,1968,Isabel Sarli,Female,Argentina
The Curious Dr. Humpp,1969,Ricardo Bauleo,Male,Argentina
Chronicle of a Boy Alone,1965,Diego Puente,Male,Argentina
Fuego,1969,Isabel Sarli,Female,Argentina
Fiebre,1971,Isabel Sarli,Female,Argentina
Bewitched,1969,Isabel Sarli,Female,Argentina
Muhair,1967,Isabel Sarli,Female,Argentina
The Truce,1974,Héctor Alterio,Male,Argentina
Sensual Jungle,1969,Ricardo Bauleo,Male,Argentina
Rebellion in Patagonia,1974,Pedro Aleandro,Male,Argentina
Blood of the Virgins,1967,Ricardo Bauleo,Male,Argentina
Siempre te amaré,1971,Olinda Bozán,Female,Argentina
Nazareno Cruz and the Wolf,1975,Juan José Camero,Male,Argentina
Ardent Summer,1973,Isabel Sarli,Female,Argentina
Invasion,1969,Olga Zubarry,Female,Argentina
La joven casada,1975,Ornella Muti,Female,Argentina
Love After Death,1968,Guillermo De Córdova,Male,Argentina
Father Heart Wants to Get Married,1974,Norberto Suárez,Male,Argentina
Tropical Ecstasy,1970,Isabel Sarli,Female,Argentina
La diosa virgen,1974,Isabel Sarli,Female,Argentina
Alice in Wonderland,1976,Mónica von Reust,Male,Argentina
A Butterfly in the Night,1976,Isabel Sarli,Female,Argentina
Brigada en acción,1977,Palito Ortega,Male,Argentina
Nacidos para cantar,1965,Zulma Faiad,Female,Argentina
The Film,1975,Ernesto Bianco,Male,Argentina
Would You Marry Me?,1967,Palito Ortega,Male,Argentina
The Slaughter,1971,Mirtha Massa,Female,Argentina
La obertura,1977,Enzo Viena,Male,Argentina
Simplemente María,1972,Saby Kamalich,Female,Argentina
Desnuda en la arena,1969,Isabel Sarli,Female,Argentina
El romance del Aniceto y la Francisca,1967,Federico Luppi,Male,Argentina
Little Raoul,1975,Marilina Ross,Female,Argentina
40 grados a la sombra,1967,Gracita Morales,Female,Argentina
Setenta veces siete,1962,Isabel Sarli,Female,Argentina
The Traitors,1973,Víctor Proncet,Male,Argentina
Masterworks of Terror,1960,Narciso Ibáñez Menta,Male,Argentina
